literature_id,reaction_id,reaction_equation,reaction_type_reversible,notes
PMID32729393,reaction_2,Benzaldehyde + H2O + Acceptor -> Benzoic acid + Reduced Acceptor,Not specified,Relative activity was 311% compared to BMAL-CHO (Table 2).
PMID32729393,reaction_3,o-Hydroxybenzaldehyde + H2O + Acceptor -> o-Hydroxybenzoic acid + Reduced Acceptor,Not specified,Relative activity was 159% compared to BMAL-CHO (Table 2).
PMID32729393,reaction_4,m-Hydroxybenzaldehyde + H2O + Acceptor -> m-Hydroxybenzoic acid + Reduced Acceptor,Not specified,Relative activity was 103% compared to BMAL-CHO (Table 2).
PMID32729393,reaction_5,p-Hydroxybenzaldehyde + H2O + Acceptor -> p-Hydroxybenzoic acid + Reduced Acceptor,Not specified,Relative activity was 81.1% compared to BMAL-CHO (Table 2).
PMID32729393,reaction_6,o-Nitrobenzaldehyde + H2O + Acceptor -> o-Nitrobenzoic acid + Reduced Acceptor,Not specified,Relative activity was 132% compared to BMAL-CHO (Table 2).
PMID32729393,reaction_7,m-Nitrobenzaldehyde + H2O + Acceptor -> m-Nitrobenzoic acid + Reduced Acceptor,Not specified,Relative activity was 296% compared to BMAL-CHO (Table 2).
PMID32729393,reaction_8,p-Nitrobenzaldehyde + H2O + Acceptor -> p-Nitrobenzoic acid + Reduced Acceptor,Not specified,Relative activity was 364% compared to BMAL-CHO (Table 2).
PMID32729393,reaction_9,Cinnamaldehyde + H2O + Acceptor -> Cinnamic acid + Reduced Acceptor,Not specified,Relative activity was 132% compared to BMAL-CHO (Table 2).
PMID32729393,reaction_10,3-benzyloxy-2-methyl-4-pyrone -> 3-benzyloxy-4-oxo-4H-pyran-2-carboxylic acid,No,"This is a multi-enzyme cascade reaction. The reaction combines purified BMAL-CHO dehydrogenase with whole E. coli cells expressing P450nov (mutant L188P/F218L) from Novosphingobium sp. SB32149. P450nov converts BMAL to BMAL-OH and then to BMAL-CHO. BMAL-CHO dehydrogenase then converts BMAL-CHO to the final product, BMAL-COOH. BMAL-OH accumulates as a major byproduct."
PMID32730353,reaction_1,alpha-linolenic acid + NADH + H+ + O2 -> stearidonic acid + NAD+ + 2 H2O,Not specified,"This enzyme was expressed in tilapia, either alone or with delta-5 desaturase (dual-transgenic). The experiment measured the overall change in the fatty acid profile in the liver. In dual-transgenic fish, the final pathway product, docosahexaenoic acid (DHA), was significantly increased by 1.2-fold compared to wild-type, indicating the activity of this enzyme in the n-3 PUFA pathway."
PMID32730353,reaction_2,eicosatetraenoic acid + NADH + H+ + O2 -> eicosapentaenoic acid + NAD+ + 2 H2O,Not specified,"This enzyme was expressed in tilapia, either alone or with delta-6 desaturase (dual-transgenic). While the direct product, eicosapentaenoic acid (EPA), did not show a significant increase, the final pathway product, docosahexaenoic acid (DHA), was significantly increased by 1.2-fold in dual-transgenic fish, indicating overall pathway activity."
PMID32730353,reaction_3,linoleic acid + NADH + H+ + O2 -> gamma-linolenic acid + NAD+ + 2 H2O,Not specified,"This reaction is part of the n-6 PUFA biosynthesis pathway. The enzyme's activity on this substrate was inferred from the significant 1.3-fold increase in the downstream product, arachidonic acid (ARA), in dual-transgenic fish."
PMID32730353,reaction_4,dihomo-gamma-linolenic acid + NADH + H+ + O2 -> arachidonic acid + NAD+ + 2 H2O,Not specified,"This reaction is part of the n-6 PUFA biosynthesis pathway. The product, arachidonic acid (ARA), was significantly elevated by 1.3-fold in the liver of dual-transgenic fish compared to wild-type, demonstrating the in vivo activity of the expressed enzyme on the n-6 pathway."
PMID32730563,reaction_1,D-Alanine + O2 + H2O -> Pyruvic acid + NH3 + H2O2,No,The study compared enzyme kinetics under low FAD (2 µM) and high FAD (20 µM) concentrations. The Kd for FAD binding was 0.173 ± 0.003 µM for wild-type and 0.146 ± 0.009 µM for the P219L mutant. The PDB ID for the P219L mutant complex with FAD and benzoate is 6KBP.
PMID32730563,reaction_2,D-Serine + O2 + H2O -> 3-Hydroxypyruvic acid + NH3 + H2O2,No,The study compared enzyme kinetics under low FAD (2 µM) and high FAD (20 µM) concentrations. The Kd for FAD binding was 0.173 ± 0.003 µM for wild-type and 0.146 ± 0.009 µM for the P219L mutant. The PDB ID for the P219L mutant complex with FAD and benzoate is 6KBP.
PMID32730563,reaction_3,D-Proline + O2 + H2O -> L-Glutamate 5-semialdehyde + H2O2,No,The study compared enzyme kinetics under low FAD (2 µM) and high FAD (20 µM) concentrations. The Kd for FAD binding was 0.173 ± 0.003 µM for wild-type and 0.146 ± 0.009 µM for the P219L mutant. The PDB ID for the P219L mutant complex with FAD and benzoate is 6KBP.
PMID32731629,reaction_1a,L-arginine + ATP -> L-phosphoarginine + ADP,Yes,"Kinetics determined with L-arginine as the variable substrate (0.5-2.5 mM) and a fixed ATP concentration (0.5 mM). The inhibition type was described as both 'mixed' and 'uncompetitive', but the reported changes in Vmax (decrease) and Km (increase) are characteristic of mixed inhibition. The Vmax unit is reported as µmol/min/mL in the text, which contradicts the 'mol/sec' unit in the Table 1 header; the former is used as it is consistent with the values."
PMID32731629,reaction_1b,L-arginine + ATP -> L-phosphoarginine + ADP,Yes,"Kinetics determined with ATP as the variable substrate (0.1-0.5 mM) and a fixed L-arginine concentration (2 mM). The inhibition type was described as both 'mixed' and 'uncompetitive', but the reported changes in Vmax (decrease) and Km (increase) are characteristic of mixed inhibition. The Vmax unit is reported as µmol/min/mL in the text, which contradicts the 'mol/sec' unit in the Table 1 header; the former is used as it is consistent with the values."
PMID32732027,reaction_1,Galactose + ATP -> Galactose-1-phosphate + ADP,Not specified,
PMID32732027,reaction_2,2-deoxy-galactose + ATP -> 2-deoxy-galactose-1-phosphate + ADP,Not specified,
PMID32732027,reaction_3,2-deoxy-2-amino-galactose + ATP -> 2-deoxy-2-amino-galactose-1-phosphate + ADP,Not specified,Product GalN-1-P was synthesized on a 20 mL scale and characterized by MS and NMR.
PMID32732027,reaction_4,2-deoxy-2-azido-galactose + ATP -> 2-deoxy-2-azido-galactose-1-phosphate + ADP,Not specified,
PMID32732027,reaction_5,4-deoxy-galactose + ATP -> 4-deoxy-galactose-1-phosphate + ADP,Not specified,
PMID32732027,reaction_6,6-deoxy-6-azido-galactose + ATP -> 6-deoxy-6-azido-galactose-1-phosphate + ADP,Not specified,
PMID32732027,reaction_7,Galacturonic acid + ATP -> Galacturonic acid-1-phosphate + ADP,Not specified,
PMID32732027,reaction_8,N-acetyl-galactosamine + ATP -> N-acetyl-galactosamine-1-phosphate + ADP,Not specified,
PMID32732027,reaction_9,N-propionyl-galactosamine + ATP -> N-propionyl-galactosamine-1-phosphate + ADP,Not specified,
PMID32732027,reaction_10,Glucose + ATP -> Glucose-1-phosphate + ADP,Not specified,
PMID32732027,reaction_11,N-acetyl-glucosamine + ATP -> N-acetyl-glucosamine-1-phosphate + ADP,Not specified,
PMID32732027,reaction_12,2-deoxy-2-azido-glucose + ATP -> 2-deoxy-2-azido-glucose-1-phosphate + ADP,Not specified,
PMID32732027,reaction_13,6-deoxy-glucose + ATP -> 6-deoxy-glucose-1-phosphate + ADP,Not specified,
PMID32732027,reaction_14,Xylose + ATP -> Xylose-1-phosphate + ADP,Not specified,
PMID32732027,reaction_15,2-deoxy-2-fluoro-mannose + ATP -> 2-deoxy-2-fluoro-mannose-1-phosphate + ADP,Not specified,
PMID32732027,reaction_16,N-acetyl-mannosamine + ATP -> N-acetyl-mannosamine-1-phosphate + ADP,Not specified,Product ManNAc-1-P was synthesized on a 20 mL scale and characterized by MS and NMR. First report of a GalK able to catalyze the phosphorylation of ManNAc.
PMID32732027,reaction_17,N-azido-acetyl-mannosamine + ATP -> N-azido-acetyl-mannosamine-1-phosphate + ADP,Not specified,
PMID32732027,reaction_18,D-Fructose + ATP -> D-Fructose-1-phosphate + ADP,Not specified,
PMID32732027,reaction_19,L-mannose + ATP -> L-mannose-1-phosphate + ADP,Not specified,
PMID32732027,reaction_20,L-glucose + ATP -> L-glucose-1-phosphate + ADP,Not specified,
PMID32732035,reaction_1,(+)-Borneol + NAD+ → (+)-Camphor + NADH + H+,Not specified,"The enzyme does not use isopropanol, cyclohexanol, cyclopentanol, or (+)-2-butanol as alternative substrates, nor NADP+ as a cofactor."
PMID32732035,reaction_2,(-)-Borneol + NAD+ → (-)-Camphor + NADH + H+,Not specified,The low activity towards (-)-borneol allows for its accumulation and recovery (86% yield) in a whole-cell biotransformation process using a mixture of borneol stereoisomers.
PMID32732035,reaction_3,(+)-Borneol + NAD+ → (+)-Camphor + NADH + H+,Not specified,
PMID32732035,reaction_4,(-)-Borneol + NAD+ → (-)-Camphor + NADH + H+,Not specified,
PMID32732035,reaction_5,(+)-Borneol + NAD+ → (+)-Camphor + NADH + H+,Not specified,Preliminary characterization performed on crude extract as the isozyme was unstable and lost activity upon purification. kcat not determined.
PMID32732035,reaction_6,(-)-Borneol + NAD+ → (-)-Camphor + NADH + H+,Not specified,Preliminary characterization performed on crude extract as the isozyme was unstable and lost activity upon purification. kcat not determined.
PMID32732043,reaction_1,"Linoleic acid + O2 -> 13(S)-hydroperoxy-9,11-octadecadienoic acid",Not specified,"The enzyme, BLOX, was purified from its native source, black soybean. It is a unique heterodimer of 46 kDa and 55 kDa subunits. The enzyme is stable between pH 6.0-10.0 and at temperatures up to 40°C. Mg2+ and Ca2+ had no effect on activity."
PMID32732043,reaction_2,α-Linolenic acid + O2 -> Dioxygenated α-linolenic acid,Not specified,α-Linolenic acid is a minor substrate. The enzyme exhibited 51.53% of the activity observed with linoleic acid under standard assay conditions. The specific product was not identified.
PMID32732435,reaction_1,3-hydroxyanthranilic acid + O2 -> 2-amino-3-carboxymuconate-6-semialdehyde,Not specified,"The study focuses on trapping and characterizing catalytic intermediates in the crystalline state, where the reaction is over 10,000-fold slower than in solution. Seven intermediates were structurally characterized via X-ray crystallography: a monodentate substrate complex (E•S)I, a bidentate substrate complex (E•S)II, a ferric superoxo species (E•S•O2)I, an alkylperoxo intermediate (E•S•O2)III, a seven-membered lactone intermediate (E•Int)II, and two distinct enol tautomers of the product ACMS ((E•P)I and (E•P)II). A substrate-based radical species (g = 2.005) was detected by EPR. The enzyme is proposed to possess in situ isomerase activity, controlling the conformation of the ACMS product to regulate its subsequent non-enzymatic cyclization to quinolinic acid."
PMID32735861,reaction_1,Sulfite + H2O + Nitro-blue tetrazolium (oxidized) -> Sulfate + Formazan + 2H+,Yes,The enzyme was purified from native A. aeolicus membranes. The reaction was monitored by NBT reduction at 605 nm. The enzyme is a dimer of trimer (αβγ)2 of about 390 kDa. The enzyme was found to be specific for sulfite; no oxidation of tetrathionate or thiosulfate was observed with appropriate electron acceptors.
PMID32735861,reaction_2,Sulfite + H2O + Decyl-ubiquinone -> Sulfate + Decyl-ubiquinol + 2H+,Yes,The reaction was monitored by decyl-ubiquinone (DB) reduction at 275 nm. DB is a UQ10 analogue.
PMID32735861,reaction_3,Tetrathionate + 2 Methyl Viologen (reduced) -> Products + 2 Methyl Viologen (oxidized),Yes,The enzyme shows reductase activity in vitro. The reaction was monitored by oxidation of reduced methyl viologen at 604 nm. The specific products were not identified in this assay. Thiosulfate and sulfite were not reduced by the enzyme under similar conditions.
PMID32735861,reaction_4,Elemental sulfur + 2 Methyl Viologen (reduced) + 2H+ -> Hydrogen sulfide + 2 Methyl Viologen (oxidized),Yes,"The enzyme shows reductase activity in vitro. Elemental sulfur was prepared as dispersed sulfur. The reaction was monitored by colorimetric determination of the product, hydrogen sulfide."
PMID32735861,reaction_5,Sulfite + 1/2 O2 -> Sulfate,No,"This reaction represents the coupling of sulfite oxidation by SoeABC to the respiratory chain in A. aeolicus membranes, leading to oxygen consumption. The bd quinol oxidase and potentially the ba3-bc1 supercomplex are implicated as terminal oxidases."
PMID32735861,reaction_6,Sulfite + 1/2 O2 -> Sulfate,No,"This reaction demonstrates that whole cells can feed electrons from extracellular sulfite into the respiratory chain, leading to oxygen consumption."
PMID32736636,reaction_1,d-galacturonic acid + NAD+ -> mucic acid + NADH + H+,Not specified,"This reaction represents the whole-cell conversion of d-galacturonic acid to mucic acid by the engineered Trichoderma sp. LF328 transformant T2. The endogenous d-galacturonate reductase gene (gar2) was disrupted via CRISPR-Cas9. The udh gene from Agrobacterium tumefaciens was codon optimized for Aspergillus niger. The yield on utilized d-galacturonic acid was up to 1.04 g/g. Various co-substrates (lactose, d-xylose, d-glucose, glycerol) were tested."
PMID32736636,reaction_2,d-galacturonic acid + NAD+ -> mucic acid + NADH + H+,Not specified,"The conversion was incomplete, with a maximum yield of 0.82 g mucic acid per g d-galacturonic acid, suggesting an alternative, undisrupted catabolic pathway exists in this organism. Three transformants (C1, C2, C3) showed different production levels, suggesting different genetic integration events."
PMID32736636,reaction_3,poly-d-galacturonic acid + n H2O + n NAD+ -> n mucic acid + n NADH + n H+,Not specified,"This is a multi-step process involving native poly-d-galacturonase to hydrolyze the polymer into d-galacturonic acid monomers, followed by conversion to mucic acid by the engineered uronate dehydrogenase. Hydrolysis was likely incomplete as less than half the available d-galacturonic acid was converted."
PMID32736636,reaction_4,poly-d-galacturonic acid + n H2O + n NAD+ -> n mucic acid + n NADH + n H+,Not specified,"This process involves native pectinases to hydrolyze the polymer. d-galacturonic acid accumulated in the supernatant, indicating hydrolysis was faster than uptake/conversion."
PMID32736636,reaction_5,pectin + n H2O + n NAD+ -> n mucic acid + n NADH + n H+ + other sugars,Not specified,"This is a consolidated bioprocess where the organism's native pectinases hydrolyze pectin. The Trichoderma strains could not utilize pectin. Production was higher from pectin than poly-d-galacturonic acid, suggesting other components of pectin were beneficial."
PMID32736636,reaction_6,poly-d-galacturonic acid + n H2O -> n d-galacturonic acid,No,Enzyme activity was measured from the culture supernatant of LF328 grown on citrus pectin. The enzyme was unstable at 50-55°C but stable for more than an hour at 40°C. No pectin lyase or pectate lyase activity was observed for this organism.
PMID32736692,reaction_1,"Cypridina luciferyl sulfate + Adenosine 3',5'-diphosphate -> Cypridina luciferin + 3'-Phosphoadenosine 5'-phosphosulfate",Yes,"This reaction is the first step in a proposed enzymatic cycle. The enzyme source was a G25-fraction of crude extracts from Cypridina specimens, which contains uncharacterized sulfotransferase(s). The reverse reaction with Cypridina luciferin and PAPS is also known to occur."
PMID32736692,reaction_2,"Acetic acid + 3'-Phosphoadenosine 5'-phosphosulfate -> Acetyl sulfate + Adenosine 3',5'-diphosphate",Not specified,"This reaction is the second step in a proposed enzymatic cycle that regenerates PAP. The product, acetyl sulfate, was identified by mass spectrometry (found m/z 138.9699, calcd 138.9701) and confirmed by comparison to a chemically synthesized standard. Acetyl sulfate is unstable in aqueous solution and spontaneously hydrolyzes to acetic acid and sulfate ion."
PMID32736692,reaction_3,"Phosphoric acid + 3'-Phosphoadenosine 5'-phosphosulfate -> Sulfophosphoric acid + Adenosine 3',5'-diphosphate",Not specified,"Reaction is inferred from the stimulation of luminescence in the presence of phosphoric acid. The predicted product, sulfophosphoric acid, was not detected by mass spectrometry, presumably due to instability."
PMID32736692,reaction_4,"Maleic acid + 3'-Phosphoadenosine 5'-phosphosulfate -> Sulfated maleic acid + Adenosine 3',5'-diphosphate",Not specified,Reaction is inferred from the effective stimulation of luminescence in the presence of maleic acid. The sulfated product was not identified.
PMID32736692,reaction_5,"3-Methylcrotonic acid + 3'-Phosphoadenosine 5'-phosphosulfate -> Sulfated 3-methylcrotonic acid + Adenosine 3',5'-diphosphate",Not specified,Reaction is inferred from the effective stimulation of luminescence in the presence of 3-methylcrotonic acid. The sulfated product was not identified.
PMID32736692,reaction_6,"Isopropylmalonic acid + 3'-Phosphoadenosine 5'-phosphosulfate -> Sulfated isopropylmalonic acid + Adenosine 3',5'-diphosphate",Not specified,Reaction is inferred from the effective stimulation of luminescence in the presence of isopropylmalonic acid. The sulfated product was not identified.
PMID32738969,reaction_1,Creatine + ATP <=> Phosphocreatine + ADP,Yes,"The effects of various dammarane aglycones on enzyme activity were tested. Activators (with max % increase): 20(S)-PPD (54.3% at 40 μM), 24-COOH-PPD (52.1% at 80 μM), 20(S)-PPT (32.2% at 20 μM), 20(R)-PPD (23.5% at 20 μM), 25-OH-PPD (17.3% at 5 μM), Panaxadiol (PD) (15.4% at 80 μM). Panaxatriol (PT) and Ocotillol had no significant effect. Jujubogenin was identified as an inhibitor."
PMID32738969,reaction_2,Creatine + ATP <=> Phosphocreatine + ADP,Yes,"The effects of various dammarane saponins on enzyme activity were tested. Activators (with max % increase and SMILES): 20(S)-PPD (9.3% at 10 μM; SMILES: CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C), 20(S)-PPT (4.4% at 20 μM; SMILES: CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O)C[C@]12C), Ginsenoside Rh2 (3.5% at 40 μM; SMILES: CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](OC4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C). Ginsenoside Rd and Ginsenoside Rg1 had no significant effect."
PMID32744783,reaction_1,AMCA[periplasm] + nH+[periplasm] → AMCA[cytoplasm] + nH+[cytoplasm],Not specified,"The study primarily investigated the conformational dynamics of DtpA using smFRET in various environments (detergent and lipid nanodiscs). The transport assay with the fluorescent substrate AMCA was performed to validate the functionality of the engineered protein variants. The smFRET experiments revealed that DtpA exists as a dynamic ensemble of states. In LMNG detergent, it samples an inward-open (low-FRET, E=0.48) and an occluded (high-FRET, E=0.89) state, which interconvert with a relaxation time of ~1 ms. In lipid nanodiscs (e.g., POPE), DtpA also samples an outward-open state, showing cooperativity between the periplasmic and cytoplasmic sides which is lost in detergent. The conformational equilibrium was found to be sensitive to the lipid headgroup chemistry, with anionic lipids (POPS, POPA) promoting a novel, extremely inward-open state (E=0.25). The addition of peptide substrates (Ala-Ala, Ala-Ala-Ala, Gly-Leu, Gly-Gly-Leu) did not significantly alter the conformational equilibrium."
PMID32745463,reaction_1,"2-acetolactate + NADPH + H+ -> 2,3-dihydroxy-3-isovalerate + NADP+",Not specified,The faster rate with hydroxypyruvate (reaction_2) indicates that the alkyl migration (isomerization) step is rate-limiting for the overall reaction with 2-acetolactate.
PMID32745463,reaction_2,hydroxypyruvate + NADPH + H+ -> reduced hydroxypyruvate + NADP+,Not specified,This reaction represents only the reduction step of the KARI enzyme.
PMID32745463,reaction_3,"2-acetolactate + NADPH + H+ -> 2,3-dihydroxy-3-isovalerate + NADP+",Not specified,The faster rate with hydroxypyruvate (reaction_4) indicates that the alkyl migration (isomerization) step is rate-limiting for the overall reaction with 2-acetolactate.
PMID32745463,reaction_4,hydroxypyruvate + NADPH + H+ -> reduced hydroxypyruvate + NADP+,Not specified,This reaction represents only the reduction step of the KARI enzyme.
PMID32745735,reaction_1,Shikimate + ATP -> Shikimate 3-phosphate + ADP,Not specified,The formation of shikimate-3-phosphate was determined by HPLC. The study tested a series of 17 synthesized pyrazole derivatives as potential inhibitors.
PMID32747548,reaction_1,β-apo-8′-carotenal + O2 → β-apo-14′-carotenal + C8-dialdehyde,No,The C8-dialdehyde product was inferred from stoichiometry but not experimentally identified. The resting state iron center was determined by XAS to be five-coordinate Fe(II) with four His residues and one aquo ligand. β-carotene was not a substrate.
PMID32747548,reaction_2,β-apo-8′-carotenol + O2 → β-apo-14′-carotenal + C8-hydroxy-aldehyde,No,The C8-hydroxy-aldehyde product was inferred from stoichiometry but not experimentally identified. Kinetic parameters (kcat and Km) were determined but values are not provided in the text.
PMID32747548,reaction_3,β-apo-10′-carotenal + O2 → β-apo-14′-carotenal + C5-dialdehyde,No,The C5-dialdehyde product was inferred from stoichiometry but not experimentally identified.
PMID32747548,reaction_4,3-hydroxy-β-apo-12′-carotenal + O2 → 3-hydroxy-β-apo-14′-carotenal + C3-dialdehyde,No,"The C3-dialdehyde product was inferred from stoichiometry but not experimentally identified. During attempts to co-crystallize cobalt-substituted NdCCD with this substrate, the substrate was cleaved, resulting in a crystal structure of the enzyme in complex with its product, 3-hydroxy-β-apo-14′-carotenal."
PMID32747548,reaction_5,β-apo-8′-carotenal + O2 → β-apo-14′-carotenal + C8-dialdehyde,No,The C8-dialdehyde product was inferred from stoichiometry but not experimentally identified. The enzyme did not accept β-carotene as a substrate.
PMID32748014,reaction_1,L-Glutamate + ATP -> L-gamma-Glutamyl phosphate + ADP,Not specified,"The wild-type GK activity was markedly inhibited by proline. The Q79H variant was identified in the K-9-AZC mutant strain of S. cerevisiae, which overproduces proline. The I150T variant was created for comparison as a known proline-desensitized mutant."
PMID32750321,reaction_1,(S)-6-hydroxynicotine + O2 -> 6-hydroxy-methylmyosmine + H2O2,Not specified,"Wild-type enzyme data is for the MBP-HLNO construct, which showed significantly higher FAD retention (0.8 mol/mol) compared to untagged HLNO (0.17 mol/mol). All reported activities were corrected for FAD content."
PMID32750321,reaction_2,(S)-nicotine + O2 -> N-methylmyosmine + H2O2,Not specified,HLNO oxidizes (S)-nicotine at a low rate. Mutations were introduced to increase activity and shift specificity from (S)-6-OH-nicotine towards (S)-nicotine.
PMID32750321,reaction_3,(S)-nicotine + O2 -> N-methylmyosmine + H2O2,Not specified,The NOX enzyme was only expressed in soluble form when attached to an N-terminal MBP tag. The kcat was measured at 37°C.
PMID32750477,reaction_1,Dihydrolipoamide + NAD+ -> Lipoamide + NADH + H+,Yes,"The study focuses on LdDLDH_Variant1, which lacks the conserved catalytic Cys-Cys disulfide bridge typical of class-I pyridine nucleotide-disulfide oxidoreductases. Mutational analysis of Cys15 and Cys38 confirmed they are not involved in a disulfide bond, suggesting the enzyme utilizes a non-classical reaction mechanism."
PMID32752273,reaction_1,Coelenterazine + O2 -> Coelenteramide + CO2 + light (480 nm),Not specified,"The enzymatic activity of Gaussia luciferase was directly tested to validate its use as a reporter. The study found that, unlike Lux-based systems, GLuc activity is not directly inhibited by the P. aeruginosa quorum sensing molecule 3-oxo-C12-HSL or its analogue C12-TMA, making it a more robust reporter for screening potential agr system inhibitors. The reaction requires O2 and is ATP-independent."
PMID32761262,reaction_1,D-xylose <=> D-xylulose,Yes,The enzyme is a homotetrameric protein with a native molecular mass of 175 kDa. It showed 57-fold lower catalytic efficiency with D-glucose and no activity with L-arabinose.
PMID32761262,reaction_2,D-xylulose + ATP -> D-xylulose-5-phosphate + ADP,Not specified,The enzyme is a homodimeric protein with a native molecular mass of 133 kDa. L-ribulose was not phosphorylated at significant rates.
PMID32761262,reaction_3,L-arabinose <=> L-ribulose,Yes,"The enzyme is a homohexameric protein with a native molecular mass of 322 kDa. No activity was measured with D-galactose, D-arabinose, D-ribose and D-xylose."
PMID32761262,reaction_4,L-ribulose + ATP -> L-ribulose-5-phosphate + ADP,Not specified,The enzyme is a homohexameric protein with a native molecular mass of 348 kDa. D-xylulose was not used as a substrate. This enzyme also catalyzes the phosphorylation of D-ribose as a side activity.
PMID32761262,reaction_5,D-ribose + ATP -> D-ribose-5-phosphate + ADP,Not specified,This is a side activity of the ribulokinase (Huta_1150). The enzyme was identified by purifying ribokinase activity from H. utahensis cell extracts.
PMID32761262,reaction_6,D-ribose + ATP -> D-ribose-5-phosphate + ADP,Not specified,The enzyme is a dimeric protein with a native molecular mass of 70 kDa. This is the first characterized ribokinase in the archaeal domain.
PMID32761262,reaction_7,D-ribose-5-phosphate <=> D-ribulose-5-phosphate,Yes,The enzyme is a homotetrameric protein with a native molecular mass of 98.5 kDa. D-glucose and D-xylose were not used as substrates.
PMID32761540,reaction_1,Marmesin + NADPH + H+ + O2 -> Psoralen + Acetone + NADP+ + H2O,Not specified,"The native enzyme showed no activity in vitro. For in vitro assays, a chimeric enzyme was created by replacing the N-terminal 37 amino acids with the equivalent region of CYP73A1 to improve stability and expression. The reaction is an oxidative C-C bond cleavage described as a syn-elimination."
PMID32761540,reaction_2,Columbianetin + NADPH + H+ + O2 -> Angelicin + Acetone + NADP+ + H2O,Not specified,"The native enzyme showed no activity in vitro. For in vitro assays, a chimeric enzyme was created by replacing the N-terminal 37 amino acids with the equivalent region of CYP73A1 to improve stability and expression. The reaction is an oxidative C-C bond cleavage described as a syn-elimination."
PMID32762529,reaction_1,L-DOPA + O2 -> Dopachrome + 2 H2O,Not specified,"The study investigated the inhibitory effects of synthesized benzothiazole-thiourea derivatives (BT1-BT9) on mushroom tyrosinase. Kinetic analysis of the most potent inhibitor, BT2, revealed a non-competitive mode of inhibition. The enzyme was purchased commercially from Sigma Aldrich. There are inconsistencies in the units reported in tables versus the main text; units from the text/abstract (mM) were prioritized as they are consistent with experimental concentrations used."
PMID32763398,reaction_1,β-chitin + Ascorbic acid + O2 -> Oxidized and partially deacetylated chito-oligosaccharides + Dehydroascorbic acid + H2O,Not specified,"SgLPMO10A produced oxidized and partially deacetylated oligosaccharides from chitin. The main product peak (DP6ox) was identified as being composed of 4 GlcNAc and 2 GlcN. The enzyme does not have deacetylase activity, but the conformation of the active site may permit deacetylation of substrates."
PMID32763398,reaction_2,Cellulose + Ascorbic acid + O2 -> Cello-oligosaccharide aldonic acids + Dehydroascorbic acid + H2O,Not specified,SgLPMO10A generated cello-oligosaccharide aldonic acids from CEOLUS (microcrystalline cellulose). No oxidized soluble product was detected from filter paper in this specific assay.
PMID32763398,reaction_3,β-chitin + H2O -> (GlcNAc)2,Not specified,"The combination of SgLPMO10A and SmChiB slightly increased the β-chitin solubilization rate, but no significant difference was detected. This was attributed to the weak activity of SgLPMO10A on chitin."
PMID32763398,reaction_4,Filter paper + H2O -> Glucose,Not specified,"The combination of SgLPMO10A and cellulases showed an increase in glucose production rate by six-fold compared to the rate without SgLPMO10A. The effect of adding H2O2 was also tested; SgLPMO10A was resistant to 100 µM H2O2, but no increase in product amount was detected under aerobic conditions."
PMID32763398,reaction_5,CEOLUS + H2O -> Glucose,Not specified,"An increase in glucose production rate was observed, but the boosting effect was smaller than that on filter paper. This substrate was used for the combination study of the separate AA10 and CBM2 domains."
PMID32763515,reaction_1,NADPH + 3-acetylpyridine adenine dinucleotide -> NADP+ + reduced 3-acetylpyridine adenine dinucleotide,Yes,"This assay measures the reverse activity of NNT using an NAD+ analogue. The study's main focus was the physiological forward reaction (NADH + NADP+ -> NAD+ + NADPH), which was investigated by observing the effects of NNT knockdown on cellular redox state (e.g., NADPH/NADP+ ratio) and function in response to Angiotensin II. Angiotensin II treatment was shown to increase NNT expression and activity in control cells."
PMID32764148,reaction_1,"Phosphatidylinositol-3-phosphate + ATP -> Phosphatidylinositol 3,5-bisphosphate + ADP",Not specified,"The paper does not directly measure PIKfyve enzyme activity. Instead, it uses known inhibitors (Apilimod, Vacuolin-1) to block the enzyme's function in living cells and then measures the downstream consequences on viral entry and infection. The IC50 of ~15 nM for Apilimod inhibition of PIKfyve in vitro is cited from reference 19. The IC50 values measured in this study (~10-50 nM) are for the inhibition of viral infection, which is consistent with the known in vitro IC50 for the enzyme."
PMID32768460,reaction_1,2-Ketoglutarate + NADPH + NH4+ <=> L-Glutamate + NADP+ + H2O,Yes,This isoenzyme is a homo-hexamer with a native molecular weight of 282 kDa and a subunit molecular weight of 47 kDa. It is regulated by cAMP-dependent protein-kinase mediated phosphorylation-dephosphorylation. The enzyme prefers the reductive amination of 2-ketoglutarate and exhibits sigmoidal saturation kinetics with this substrate. The average yield of purified protein was 5.44 mg/L.
